1|3|null|null|38.83309561209358|71|89.86665123351075|2847.016439692155|
2|3|null|null|41.74091581107236|50|25.20605004109423|2112.2518405947126|
3|3|null|null|0.05132141668547918|98|46.77989777715547|51.80939661233243|
4|5|null|null|76.97235327304223|90|67.74772110281376|6995.259515676615|
5|5|null|null|68.58142331055681|48|26.52795986988673|3318.4362787766136|
6|2|null|null|31.117866774868176|12|6.352835321727568|379.7672366201457|
7|1|null|null|0.0|0|0.0|0.0|
8|1|null|null|1.0|10|0.0|0.0|
9|2|null|null|2.0|20|0.0|0.0|
10|3|null|null|29.89|24|0.0|0.0|
11|4|null|null|2.0|10|0.0|0.0|
